BC	5	10	25	40	45
0	210	157	114	82	64
1	23	31	19	35	48
2	101	90	62	27	25
3	140	166	156	203	139
4	28	22	9	5	3
5	5	10	10	11	12
6	140	142	192	184	185
7	135	103	30	14	14
8	31	28	64	48	44
9	189	218	282	330	388
10	32	41	40	38	48
11	151	133	85	46	42
12	72	74	50	24	16
13	192	176	128	80	66
14	10	5	6	1	0
15	51	46	26	9	16
16	29	34	37	35	28
17	88	76	34	25	18
18	115	98	35	19	11
19	103	94	47	27	19
20	136	158	106	88	70
21	99	84	40	15	9
22	23	17	9	1	1
23	9	5	3	5	5
24	84	70	57	21	11
25	174	244	370	447	427
26	160	134	124	105	105
27	59	40	24	16	16
28	145	163	273	388	368
29	117	106	40	12	11
30	138	147	174	160	217
31	94	84	80	65	45
32	66	56	39	31	15
33	107	113	79	71	49
34	42	32	28	18	21
35	230	250	333	334	362
36	249	288	421	577	606
37	74	64	25	8	1
38	108	144	240	332	453
39	102	90	62	35	29
