BC	7	14	28	42	49
0	356	338	242	154	132
1	1656	1995	2756	3357	3612
2	1171	1046	882	624	517
3	886	738	543	353	270
4	1438	1375	1257	1024	897
5	860	611	303	115	90
6	1443	1598	1890	1919	1890
7	408	361	328	236	214
8	2253	2691	3598	4272	4743
9	1013	881	663	536	374
10	1232	837	347	129	97
11	221	234	276	249	238
12	1791	1818	1728	1724	1586
13	1805	2118	2792	3383	3552
14	24	27	48	83	75
15	1722	2121	3348	4764	5616
16	92	108	74	54	60
17	1680	1654	1479	1157	1057
18	105	81	64	31	32
19	1200	920	476	204	125
20	814	539	288	144	93
21	1373	1194	884	610	414
22	116	80	39	13	2
23	127	107	126	139	104
24	630	587	354	221	179
25	1529	1294	821	510	365
26	1257	1353	1437	1437	1417
27	1399	1356	1266	1172	1057
28	1489	1510	1789	1929	1904
29	1307	1503	1608	1780	1814
30	43	53	30	18	6
31	1537	1411	1033	714	553
32	99	64	37	24	11
33	1261	1352	1382	1158	1075
34	902	977	1183	1282	1296
35	1357	1758	2320	2865	3177
36	1276	1103	789	547	402
37	295	310	279	230	195
38	1224	1064	863	649	532
39	872	687	330	177	109
