BC	5	10	25	40	45
0	90	92	31	23	10
1	202	262	397	571	622
2	60	32	19	18	9
3	216	246	367	483	505
4	72	51	16	9	6
5	89	77	34	19	15
6	92	106	79	62	64
7	65	51	47	26	21
8	185	167	235	207	206
9	119	135	116	98	84
10	197	199	180	187	183
11	62	78	84	83	72
12	18	23	17	10	12
13	148	120	46	15	9
14	33	40	13	7	5
15	83	91	129	139	141
16	14	5	5	1	3
17	55	48	24	6	8
18	12	5	4	2	2
19	43	32	18	7	10
20	46	51	23	17	24
21	181	191	226	192	227
22	94	85	44	15	10
23	220	256	353	486	578
24	36	26	24	5	9
25	110	95	54	33	31
26	124	91	49	33	25
27	138	108	51	27	17
28	21	12	23	24	40
29	116	141	145	150	175
30	148	132	79	39	38
31	189	196	188	168	133
32	102	126	150	167	173
33	94	107	154	232	198
34	65	95	108	148	158
35	151	120	70	34	34
36	141	164	151	146	153
37	33	22	20	16	16
38	112	106	48	19	14
39	72	81	73	91	48
