BC	s_vals	f0_vals
0	0.015317561062869002	0.23744888509950057
1	0.0846349979110059	0.5371751418569073
2	0.035140845958689826	0.5096263589863096
3	0.05956820005988053	0.5760740392003842
4	0.06508668476095815	0.09449026286111806
5	0.003561235691379661	0.8831924885988278
6	4.1971161938536564e-05	0.806853975364817
7	0.08913977375425047	0.520440612517011
8	0.05999942034446598	0.5815559779354601
9	0.008635912790605839	0.4860129853541417
10	0.07120567291109947	0.4625425734603664
11	0.07231928378086987	0.6878204867765978
12	0.043628077816442346	0.12517978196711188
13	0.05218161638055069	0.6654806751921161
14	0.06477925497153152	0.9814957560368086
15	0.08790409037506729	0.764045941307138
16	0.08754019886706839	0.33185833212085114
17	0.07840295289155452	0.8494326681858297
18	0.08737028710622086	0.5203451373802626
19	0.04411549847794602	0.303557038173931
20	0.07049350171617194	0.12775365674943784
21	0.08129266506507718	0.3920222976134411
22	0.027423788319488097	0.6472930126245225
23	0.02228332660992809	0.9413594465776681
24	0.04642488870191667	0.5931344480056248
25	0.06667635355670658	0.6702562204811896
26	0.0070750442138205255	0.37306112094454835
27	0.05139493533399461	0.5771147076663894
28	0.06157094918949666	0.7931941725083423
29	0.00539470098988345	0.6226850594316918
30	0.05990869488688201	0.3556633163633882
31	0.08713210572676726	0.3009198030170156
32	0.015375281487301606	0.3825949825967878
33	0.07668602231494023	0.90802463020392
34	0.003429413982188723	0.675875799702615
35	0.030320644673076682	0.14259469180576811
36	0.09496486565613066	0.8607085854079368
37	0.02910530504332072	0.48308797901402056
38	0.023104914784538758	0.42201379728528254
39	0.05088172135080546	0.18363707301454713
