BC	s_vals	f0_vals
0	0.05467327626936236	0.6405534043864417
1	0.0330580817074305	0.9004280089636771
2	0.07808716076279529	0.1557781170397904
3	0.062274296763451156	0.667797666099537
4	0.022362067016309717	0.44316755164841626
5	0.02343990052162831	0.3804694388847317
6	0.08965177580110739	0.7985393731852513
7	0.07232769684906608	0.636731173602314
8	0.06387252551914965	0.9339904676468965
9	0.08189960819840464	0.10739365087505404
10	0.055945303639156535	0.48538004742182617
11	0.06859531878110664	0.0925932472747355
12	0.015850969591688756	0.9727646770740959
13	0.0449163105668352	0.80350584162396
14	0.09796797004618168	0.26088367912260935
15	0.05112268829519663	0.5610047966148047
16	0.007101887308683031	0.09061616959409435
17	0.022454657804053105	0.44053372390165
18	0.054431145455276525	0.9643681602885021
19	0.05574820528455259	0.941088594259174
20	0.020683206767576345	0.60346529180102
21	0.00435443720937887	0.6382790138304331
22	0.0331928179389613	0.9312011591652483
23	0.08690086966654312	0.09939289579231114
24	0.0780156471620137	0.6981008158637942
25	0.032811498402311956	0.7875154275078349
26	0.07849891716460344	0.685125193877644
27	0.05238559708168594	0.4436132254644546
28	0.04338580656108898	0.9971148749886947
29	0.03885223173130105	0.43026936503937196
30	0.0436953417852179	0.7490466937670445
31	0.03905336184467711	0.4873683084406427
32	0.04726883751909248	0.9294172824763184
33	0.06569605482595875	0.5785932318631267
34	0.05306311320705536	0.10804212543281455
35	0.09990795575306469	0.46534946898095053
36	0.0846984191756463	0.8807352629451584
37	0.006302294279294185	0.0334672424802015
38	0.08329867111409639	0.5279184336964968
39	0.006436151979434957	0.806373479202764
